,Title,Price,Rooms,m2,Neighbourhood,Street,Posted days ago,Description,URL
54,1 værelses lejlighed på 45 m²,8.500,1,45,København NV,Gravervænget,13,"Rummelig et værelses lejlighed 15 minutter fra Københavns centrum i naturskønneomgivelser

Rummelig og møbleret lejlighed udlejes i en periode af 2 år kun til en rolig ikke ryger M/K.

Lejligheden har alt i hvidevarer i et rummeligt spisekøkken, pænt badeværelse. Pænt stor og hyggelig stue med påklædnings niche. 

Jeg forventer af dig at du er rolig og ikke rygende, og ikke i besiddelse af husdyr, samt at du enten er langt tids studerende eller i fast job.

Kun seriøse henvendelser.
",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-nv/id-6025898
55,1 værelses lejlighed på 31 m²,7.900,1,31,København Ø,Teglværksgade,13,"ØSTERBRO STUDIO APARTMENTS MODERNE & URBANE SERVICE APARTMENTS PÅ DET ’NYE ØSTERBRO’. 165 studios med eget køkken & bad. Fællesopholds- og loungeområder. Reception. Hurtigt wifi i hele huset.  Fælles tagterrasse & solrigt gårdmiljø. Vaskeri. Parkering. Østerbro Studio Apartments er skabt i en designlinje med fokus på hjemmelighed og æstetik i international boutique stil. Hotellejlighederne er udstyret med eget specialdesignet køkken og bad fra Polyform. Østerbro Studio Apartments er beliggende på ydre Østerbro og består af 165 Studio lejligheder fordelt på 6 etager. Ejendommen byder på et urbant miljø med stort fælles gårdmiljø og stemningsfulde lounge områder. Hotellet består af fire forskellige bygninger i forskellige etager. Ejendommen har gennemgået en gennemgribende renovering og er nu omdannet til studiolejligheder  Indretning studios Studios er skabt med kontrastfuld designlinje udviklet specielt til ejendommen med afsæt i de historiske og industrielle rammer. Rummene præges af grafiske linjer i de store sorte vinduespartier i New Yorker stil, som karakteriserer og understreger ejendommens facade og udvendige udtryk. Studios varierer i størrelserne og kan beboes af 1-2 personer pr. studio. Studios er lyse og rummelige med de store New Yorker vinduer.  Urbane Østerbro med byliv & natur. Østerbro er kendt for sit rolige lokalsamfund & attraktive nærområde hvor lokale butikker, delikatesser & trendy restauranter ligger side om side. Kvarteret byder på en unik kombination af byliv og natur med mange grønne oaser, der står i kontrast til den urbane puls. Kvarteret Østerbro Studio Apartments ligger centralt på ’det nye Østerbro’ nær fælledparken & den nye Vibenshus Runddel metro. Et område der er i rivende udvikling. Østerbro Studio Apartments ligger med cykelafstand til Nørrebro, Søerne, Fælledparken & Indre By. Østerbrogade bidrager med pariserstemning med dens pulserende restaurant- og caféliv, mens grønne områder som Fælledparken inddrager naturen i hverdagen. Nær adressen finder du butikker og fitnesscenter.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6025676
56,1 værelses lejlighed på 33 m²,9.950,1,33,København K,Store Kongensgade,14,"1- OG 2-VÆRELSES BOLIGER DEN GAMLE POLITISTATION på Store Kongensgade omdannes nu til moderne lejeboliger – lige midt i København K. Det bliver en arkitektonisk oase, centralt placeret i byen, med altaner og et atmosfærefyldt niveauopdelt gårdrum mod sydøst. LEJEBOLIGERNE i huset på Store Kongensgade består primært af 1-værelses studiolejligheder, hvoraf nogle har altan, samt et mindre antal 2-værelses lejligheder med altan på øverste etage. DE LYSE, MODERNE BOLIGER er indrettet med fokus på funktionalitet i en kvalitet, som er misundelsesværdig komfortabel og gør det nemt at nyde livet midt i byen.  HVIDE VÆGGE, DØRE OG VINDUESRAMMER i lejlighedens store rum med god plads til både studie- eller kontorplads og kombineret sofa- og sovemiljø. Velindrettet køkkensektion til både enkle og avancerede kokkerier, og badeværelse med væghængt toilet, bruseniche og gulvvarme. ALLE DETALJER er nøje gennemtænkte, med behovet for personlig indretning for øje. BYGNINGEN på Store Kongensgade renoveres fra inderst til yderst, så den fremstår i et nyt, moderne udtryk. De eksisterende facader omdannes med facadebeklædning i den smukke tombak – et materiale, som i sin gyldenbrune farve ligner kobber og som bringer en livlig og bestandig signatur til facadeudtrykket. FACADERNE fremstår både glatte og perforerede og leger dermed elegant med lys og æstetik, ligesom de store vinduespartier, som fra gulv til loft inviterer lys i massevis indenfor. De fem øverste lejligheder mod Store Kongensgade har altaner, som er afskærmet fra naboen og med plads til møbler. DE UDVENDIGE VINDUESRAMMER udføres i farvet aluminium, som tone-i-tone lægger sig op ad tombakken. På den måde stråler arkitekturen med sin egen unikke og harmoniske identitet. MOD GÅRDEN øges bygningskroppen med påmonterede ’kassetter’ som er henholdsvis åbne og lukkede i et skiftende forløb. Huset ’springer’ således i et livligt udtryk mod gårdmiljøet og lader lyset vandre på skift ind og ud af alle boligerne, understøttet af facadens gyldne materialitet, farvespil og de store vinduespartier. Flere af lejlighederne er udstyret med hyggelige altaner mod det skønne gårdrum. HUSETS HØJE STUEETAGE indrettes til dagligvarebutik, med adgang fra Store Kongensgade, og politistationen fra 1970’erne vil således fremover markere sig som en stolt og raffineret bygning, med en både funklende og hensynsfuld fremtoning i gadebilledet og blandt den omkringliggende klassicistiske arkitektur. OMRÅDET omkring boligerne på Store Kongensgade er blandt byens mest eftertragtede. Gamle palæer og herskabelige ejendomme blander sig med nyrenoverede butiksfacader, yogastudier og et væld af gastronomiske oplevelser på den kendte gade, der blev til i år 1650 og strækker sig fra Østerport. Station til Kongens Nytorv, som den vestligste trafikåre i Københavns ældste bydel, Frederiksstaden. HER STORTRIVES BYLIVET i alle afskygninger, tæt på nogle af hovedstadens ypperste attraktioner – få meter fra Marmorkirken og blot en kort gåtur fra bl.a. Nyhavn, Ofelia Beach og Toldboden. Så når byturen tager fat på de lyse timer, er der ikke langt hjem! Løbeture på Kastellet, i Kongens Have eller langs havnefronten. Shopping og hyggelige kaffebarer. Gallerier, fitnesscentre og søndagsbrunch med vennerne.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6024824
57,1 værelses lejlighed på 38 m²,8.000,1,38,København Ø,Hans Knudsens Plads,14,"Nyd livet i en moderne og lys bolig med bl.a. adgang til to store tagterrasser. Boligerne er nabo til både Ryparken Station, buslinjer til DTU i Lyngby og den nye Cityring. Indkøb, sport og caféliv er i gåafstand. Er du til shopping, er der ikke langt til Østerbrogade og kun 5 km ind til Strøget. 133 Studios Boligerne er moderne og lyst indrettede med et flot lysindfald fra de store vinduespartier. Boligerne er mellem 33 – 42 m²  fordelt  6 etager. Der er eget køkken, bad og toilet til hver bolig.. I stueetagen finder man også et stort fællesrum med køkken og direkte adgang til en sydvendt fælles tagterrasser. Som beboer får du adgang til to store tagterrasser, som er møbleret. Her kan du nyde studielivet i solen. Høj kvalitet Boligerne er med hvidmalede lofter og vægge, lamelparket i lakeret eg, køkken med hvide låger og 2-zoners keramisk kogeplade. I stueplan er der et stort fællesrum med køkken og direkte adgang til sydvendt terrasse. Til hver bolig hører et depotrum på 1,5 m2, som er beliggende i stueetagen. Herfra er der elevator direkte op til de øvrige etager. Tæt på alt Boligerne ligger tæt på de fleste uddannelsesinstitutioner. Der er ikke langt til hverken Københavns Universitetspark, CBS, DTU eller Erhvervsakademiet. Derudover finder du gode indkøbsmuligheder, offentlig transport og sportsmuligheder kort fra boligerne. Er du til shopping, er der ikke langt til Østerbrogade og kun 5 km ind til Strøget.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6024758
58,1 værelses lejlighed på 54 m²,9.750,1,54,København S,Højdevej,17,"Dejlig renoveret 2 værelses lejlighed.
 
Boligen udlejes fuldt møbleret
 
Kan ikke deles",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-s/id-6024361
59,2 værelses lejlighed på 75 m²,10.500,2,75,København K,Købmagergade,17,"På 4. Sal findes denne lille og hyggelige lejlighed. Lejligheden består af en entre, et lille soveværelse , et stort åbent køkken i forlængelse af stuen samt et badeværelse med bruseniche. Der er vaskemaskine og tørretumbler på badeværelset. En utroligt centralt placeret lejlighed. Beliggende på Købmagergade, tæt ved Strøget og Højbro Plads.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-k/id-6024203
60,1 værelses lejlighed på 32 m²,7.900,1,32,København Ø,Stadens Vænge,18,"Lejligheden:
Lejligheden er beliggende Stadens Vænge, 2100 København Ø. Det er en 1. sals lejlighed, som ligger ud til Jagtvej, tæt på Fælledparken, Københavns universitet og adskillige andre uddannelsesinstitutioner.

Lejligheden har indbygningsskabe og et te-køkken med to kogeplader, emhætte og et køleskab. Der er ikke nogen ovn, men der er mulighed for at tilslutte en miniovn/kombiovn. 

Stort dejligt badeværelse i neutrale fliser hvidt/gråt og med separat bruseniche. 

Lejligheden er 32 m2 brutto (målt fra ydersiden af ydervæggene + andel af fælles adgangsarealer). Selve gulvarealet i lejligheden er ca. 15-16 m2. Det er en derfor en lille lejlighed, som ikke umiddelbart egner sig til mere end én person (der er dog ikke noget til hinder for at bo to personer i lejligheden ud over pladsen).

Ejendommen:
Der er festlokale, fælles vaskekælder, eget kælderrum, dørtelefon og elevator.
Aflåst fælles cykelskur.
Hyggeligt grønt gårdmiljø med mulighed for grill hygge og bænke om sommeren, og der er også solrige fælles tagterrasser ved trappeopgangene til de øvre etager.

Lejevilkår:
Leje pr. måned: 7.900kr.
Á conto vand/varme: 425 kr.
Depositum: 3 måneders leje (23.700 kr.) – bliver tilbagebetalt ved fraflytning, hvis lejligheden afleveres i samme stand som ved indflytning.
Overtagelse: 1. september 2020
Elforbrug afregnes af lejer direkte med elselskab 
Internet er inkluderet i lejen (50 Mbit forbindelse)

Lejemålet er som udgangspunkt tidsubegrænset. Lejer har 3 måneders opsigelse.

Afhængigt af dine indkomstforhold er der mulighed for at få boligsikring på knapt 1000 kr. pr. måned. Beregn selv på borgerservice, hvor meget du er berettiget til.

Skriv lidt om dig selv (alder, arbejde, studie, nuværende boligsituation etc.). 

Jeg ser frem til at høre fra dig",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6023994
61,2 værelses lejlighed på 70 m²,7.700,2,70,København S,Rågårdsminde,18,"Hyggelig 2 værelses lejlighed på Amager udlejes i 4 måneder med overtagelse d. 14. september 2020

Lejligheden er total istandsat med et nyt moderne køkken. Den rummer et stort badeværelse med lukket brusekabine, et soveværelse og en dejlig lys stue med usigt til grønt område.

Månedlig udgifter:
Husleje + varme 7700 Kr.
El 495 Kr.
Wifi/lille TV pakke/Licens 605 Kr.
 
Lejligheden tilhører andelsforeningen Pederlykkesgaard og består af 100 lejligheder. Ejendommen ligger i et roligt område og har kort gå afstand til købsmuligheder på Amagerbrogade (300 m), Amager Fælled og DR metro station (800 m).

Husdyr er ikke tilladt.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6023953
62,2 værelses lejlighed på 69 m²,9.660,2,69,København S,Ørestads Boulevard,19,"Lys og lækker 2V på 69 m2 med gårdhave til udlejning 1. oktober 2020. Boligen er indrettet med køkken/alrum/stue med altan, soveværelse mod lukket privat gårdhave samt bad med bruseniche og vaskesøjle. Alt er udført i kvalitetsmaterialer og alt i energivenlige Siemens hvidevarer; bl.a. induktionskogeplade, kombiovn med indbygget mikroovn + fuldt integreret, lydsvag opvaskemaskine samt køle/fryseskab med skjult front. 
Gulvet er i lys askeparket og på badeværelset granitgulv med gulvvarme. Vinduerne er energivenlige, børnesikrede termoruder. Lyset kan dæmpes i alle faste lampeudtag samt i køkken og bad. Tv, internet og tlf. stik i værelse og stue. 
Dørtelefon og elevator. Tørt, opvarmet pulterrum i kælder sammen med cykelkælder. 
Stor fælles tagterrasse tilgås direkte fra elevator og byder på solsenge, grill og optimal udsigt. Lige ved Metro Bellacenter. 
Område: 
Boligen er beliggende i en fritliggende ejendom fra 2008 med sydvendte solrige altaner midt i Ørestad City og lige ved Bella Center Metro st. Med metroen har du 10 min.  til indre by. Kort afstand til shopping, indkøb og biograf i Fields, Royal Arena samt fredede grønne områder perfekt til en løbetur eller picnic med familie og venner. 
Lejevilkår (beløb oplyst pr. mdr.): 
-	Leje: 9.660,-
-	Aconto varme: 600,-
-	Aconto vand: 300,-
-	Bredbånd: 199,-
Engangsbetaling ved lejekontraktens indgåelse: 
-	1. mdr. leje: 9.660,-
-	Depositum: 3 mdr. leje 
-	Forudbetalt leje: 1 mdr. leje
-	Bredbånd overdragelsesgebyr: 399.-
Øvrige lejevilkår:
-	Lejligheden er et ikke-ryger lejemål 
-	Det er ikke tilladt at holde husdyr
-	Lejemålet er tidsubegrænset og lejer har 3 måneders opsigelse. 
Lejemålet fremstår som nymalet ved overtagelse. Ved fralytning flytter lejer 10 arbejdsdage før lejemålet udløb, da udlejers professionelle håndværkere istandsætter lejemålet i denne periode. Lejemålet istandsættes i samme omfang som det blev overtaget i, og dette for lejers regning.

Venligst skriv om dig/jer selv, dine/jeres lejepræferencer samt tidshorisont, så vi har alle muligheder for at matche den rette lejer med det rette lejemål.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6023221
63,1 værelses rækkehus på 42 m²,8.450,1,42,København NV,Glentevej,25,"Flot, lys og velindrettet studiebolig på grænsen til det attraktive Nørrebro blot en kort cykeltur fra hjertet af København. 

Lejligheden er en 1-værelses, men har et særskilt kammer med skydedør, som med fordel kan benyttes som soveværelse. Se gerne de fine billeder af lejemålet for et bedre indblik. 

Vi glæder os til at høre fra dig!

OBS! Billederne er fra en næsten identisk lejlighed.",boligportal.dk/lejebolig/dp/raekkehus-koebenhavn-nv/id-6020408
70,2 værelses lejlighed på 45 m²,8.950,2,45,København N,Vølundsgade,30,"The apartment can only be rented by companies.
Nyrenoveret fuld møbleret lejlighed med alt udstyr udlejes. 
Der er vaskemaskine/tørretumbler i køkken.
Der er mulighed for parkering foran ejendommen på offentlig p-areal.
Lejligheden udlejes kun til virksomheder.  
The apartment can only be rented by companies.
IKKE RYGER LEJLIGHED!",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-n/id-6017939
72,2 værelses lejlighed på 61 m²,10.300,2,61,København S,Halldor Laxness Vej,30,"Lejlighederne
Organistens Hus rummer 2-6-værelses lejligheder i størrelsesorden fra 54 til 159 m2 - alle indrettet med rummelige planløsninger.  Alle boligerne er udstyret med klassiske køkkener fra HTH.  Badeværelserne er tilmed fra HTH og indeholder vaskesøjler.  Hårde hvidevarerne er fra Simens. 
 
Ejendommen
Boligkarrén Organistens Hus rummer i alt 81 lejemål - fra stueniveau til 9.  sal.  Ejendommens lejligheder varierer fra 2 til 6 værelse i størrelsen 54 - 159 m2.  De fleste af boligerne byder enten på en skøn altan, tagterrasse eller fransk altan.  Stuelejlighederne har enge terrasser.  Alle ejendommens beboer har desuden adgang til to fælles tagterrasser, begge beliggende på 4.  sal. 
 
Området
Med metroen er Nørreport station blot 10 minutter væk.  Derudover er ejendommens beliggenhed optimal, hvis du er på cykel, da du på kort tid kan fragte dig gennem Amager Fælleds naturskønne omgivelser til Islandsbrygge og resten af København.  Du har blot 600 meter til Field's shopping center, 200 meter til nærmeste daginstitution, 650 meter til Ørestad skole og 550 meter til Amager Fælled. 
 
Bemærk, billederne er fra en tidligere prøvebolig.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6014703
71,1 værelses lejlighed på 50 m²,3.500,1,50,København SV,Tartinisvej,30,"[ENGLISH BELOW]

Hej, mit navn er Claes.

Jeg skal være skiinstruktør i Østrig fra slut november til slut januar og leder dermed efter en der har lyst til at udleje min lille lejlighed i disse 2 måneder.

Lejligheden vil være fuldt møbleret med seng, garderobeskab,  fjernsyn og alt hvad der følger med et funktionelt køkken. Mine ejendele, tøj osv. er pakket ned hos en ven, så der vil være plads til dit eget tøj og hvad du ellers har med dig.
Lejligheden ligger tæt på transportmuligheder til indre by og ligger ellers i et hyggeligt kvarter.

Sprøde hilsener
Claes

--------------------------------------------------------------------

Hi my name is Claes.

From end November to end January I am going to be a ski instructor in Austria and are there for looking for someone to rent my apartment, while i\'m away on travels.


The apartment is fully furnished with bed, wardrobe, flatscreen and everything that makes a kitchen work. All my belongings, clothes and so forth is at a mates place,, so there will be plenty of space for your own clothes and belonings.
Theres great public transport options leading straight to inner city.

Best regards
Claes",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-sv/id-6015662
69,2 værelses lejlighed på 51 m²,10.000,2,51,København S,Østerdalsgade,30,"Lys og delevenlig 2-værelses lejlighed udlejes i 11 måneder. Lejligheden er umøbleret, men har fuldt funktionelt køkken m. køleskab, ovn, komfur, mikrobølgeovn, blender og endda med vaskemaskine i lejligheden. Altanerne har hhv. udsigt til en dejlig og velholdt går - hvor der også er mulighed for grill og cykeparkering - og et villavejs-område udadtil. Badeværelset er også fuldt funktionelt og har skab til opbevaring af toiletartikler, samt et nyligt renoveret gulv og faldstamme.

Lejligheden ligger få minutters gang fra Amagerbrogade og metrostationerne DR Byen og Amagerbro station. Udover dette er der flere muligheder for aktiviteter i nær-området, såsom caféer, Amager Centret, Fitness World, Frankrigsgade svømmehal, tennisbaner ved Sundby idrætspark og fodboldklubberne B1908 og Fremad Amager. 

Rygning er naturligvis forbudt indenfor i lejligheden. Huslejen ligger på 10.000 DKK om måneden, eksl. aconto og denne betales pr. den 1. hver måned.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6018637
65,1 værelses lejlighed på 30 m²,7.700,1,30,København Ø,Teglværksgade,30,"ØSTERBRO STUDIO APARTMENTS MODERNE & URBANE SERVICE APARTMENTS PÅ DET ’NYE ØSTERBRO’. 165 studios med eget køkken & bad. Fællesopholds- og loungeområder. Reception. Hurtigt wifi i hele huset.  Fælles tagterrasse & solrigt gårdmiljø. Vaskeri. Parkering. Østerbro Studio Apartments er skabt i en designlinje med fokus på hjemmelighed og æstetik i international boutique stil. Hotellejlighederne er udstyret med eget specialdesignet køkken og bad fra Polyform. Østerbro Studio Apartments er beliggende på ydre Østerbro og består af 165 Studio lejligheder fordelt på 6 etager. Ejendommen byder på et urbant miljø med stort fælles gårdmiljø og stemningsfulde lounge områder. Hotellet består af fire forskellige bygninger i forskellige etager. Ejendommen har gennemgået en gennemgribende renovering og er nu omdannet til studiolejligheder  Indretning studios Studios er skabt med kontrastfuld designlinje udviklet specielt til ejendommen med afsæt i de historiske og industrielle rammer. Rummene præges af grafiske linjer i de store sorte vinduespartier i New Yorker stil, som karakteriserer og understreger ejendommens facade og udvendige udtryk. Studios varierer i størrelserne og kan beboes af 1-2 personer pr. studio. Studios er lyse og rummelige med de store New Yorker vinduer.  Urbane Østerbro med byliv & natur. Østerbro er kendt for sit rolige lokalsamfund & attraktive nærområde hvor lokale butikker, delikatesser & trendy restauranter ligger side om side. Kvarteret byder på en unik kombination af byliv og natur med mange grønne oaser, der står i kontrast til den urbane puls. Kvarteret Østerbro Studio Apartments ligger centralt på ’det nye Østerbro’ nær fælledparken & den nye Vibenshus Runddel metro. Et område der er i rivende udvikling. Østerbro Studio Apartments ligger med cykelafstand til Nørrebro, Søerne, Fælledparken & Indre By. Østerbrogade bidrager med pariserstemning med dens pulserende restaurant- og caféliv, mens grønne områder som Fælledparken inddrager naturen i hverdagen. Nær adressen finder du butikker og fitnesscenter.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6019617
67,2 værelses lejlighed på 57 m²,10.500,2,57,København S,Gertrude Steins Vej,30,"Gertrudehus ligger klods op ad naturskønne Amager Fælled og byder på 166 lejeboliger fordelt på 2-5 værelser. Her bor du i en moderne københavnerkarré med forskellige niveauer og et tårn, der går op til 12. etage.
 
Skabt til det gode liv
 
Gertrudehus er tegnet af C. F. Møller Architects og består af 2-5-værelses lejligheder. Alle boliger har store vinduespartier og et åbent køkkenalrum med et Invita køkken og de hårde hvidevarer, der skal til for at skabe rammerne om det gode liv. Badeværelserne er udført i lækre materialer og med gulvvarme. Til de fleste boliger er der private altaner, terrasser eller tagterrasser. Det fælles gårdrum indeholder både legeplads og opholdsområder.  
 
Fantastisk udsigt fra boligtårn
 
Lejlighedskarréen i Gertrudehus går op til 5. etage, og i den østlige del skyder det tilhørende tårn på 42 meter op til 12. etage. Her får du til fantastisk udsigt over de nærliggende områder i Ørestad samt Københavns Skyline. Hvor end du bosætter dig i Gertrudehus er du sikker på at få masser af dagslys ind, da ejendommen er indrettet, så alle boliger har optimale lysforhold i de primære opholdsrum som stue og værelser.  
 
Klods op ad Amager Fælled
 
Med Amager Fælled som nabo er du altid nær muligheden for en gåtur, løbetur eller cykeltur i skønne omgivelser ind mod centrum. Den vilde natur fra Fælleden er også synlig i gårdrummet, som er inspireret af træer og høje græsser derfra. I Gertrudehus har du desuden metrostationen Bella Center rundt om hjørnet såvel som Bellakvarters aktivitetstag, det kommende bymiljø med butikker og caféer og meget mere.  
 
En del af et bæredygtigt kvarter
 
Bellakvarter er bæredygtighedscertificeret indenfor DGNB og har som det første byområde i Danmark fået en Guld-midtvejscertificering.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6019169
66,1 værelses lejlighed på 49 m²,9.800,1,49,København Ø,Hans Knudsens Plads,30,"Nyd livet i en moderne og lys bolig med bl.a. adgang til to store tagterrasser. Boligerne er nabo til både Ryparken Station, buslinjer til DTU i Lyngby og den nye Cityring. Indkøb, sport og caféliv er i gåafstand. Er du til shopping, er der ikke langt til Østerbrogade og kun 5 km ind til Strøget. 133 Studios Boligerne er moderne og lyst indrettede med et flot lysindfald fra de store vinduespartier. Boligerne er mellem 33 – 42 m²  fordelt  6 etager. Der er eget køkken, bad og toilet til hver bolig.. I stueetagen finder man også et stort fællesrum med køkken og direkte adgang til en sydvendt fælles tagterrasser. Som beboer får du adgang til to store tagterrasser, som er møbleret. Her kan du nyde studielivet i solen. Høj kvalitet Boligerne er med hvidmalede lofter og vægge, lamelparket i lakeret eg, køkken med hvide låger og 2-zoners keramisk kogeplade. I stueplan er der et stort fællesrum med køkken og direkte adgang til sydvendt terrasse. Til hver bolig hører et depotrum på 1,5 m2, som er beliggende i stueetagen. Herfra er der elevator direkte op til de øvrige etager. Tæt på alt Boligerne ligger tæt på de fleste uddannelsesinstitutioner. Der er ikke langt til hverken Københavns Universitetspark, CBS, DTU eller Erhvervsakademiet. Derudover finder du gode indkøbsmuligheder, offentlig transport og sportsmuligheder kort fra boligerne. Er du til shopping, er der ikke langt til Østerbrogade og kun 5 km ind til Strøget.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6019374
64,1 værelses lejlighed på 39 m²,7.900,1,39,København N,Husumgade,30,"Det drejer sig om en lille, hyggelig bolig med eget tekøkken og badeværelse. Derudover et kælderrum.
Hele ejendommen blev totalt nyrenoveret for 4 år siden, så det er en pæn standard.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-n/id-6019697
68,2 værelses lejlighed på 60 m²,8.200,2,60,København NV,Rentemestervej,30,"Newly renovated and fresly painted apartment

The apartment consists of entrance hall, with access to both rooms, kitchen and bathroom.

The spacious kitchen includes an fridge/freezer, oven and dishwasher.

The appartement is fully furnished, lease for the furniture is 1.000kr.

There is washing maschine and dryer free of charge in the basement.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-nv/id-6018925
149,1 værelses lejlighed på 30 m²,8.500,1,30,København Ø,Teglværksgade,60,"ØSTERBRO STUDIO APARTMENTS MODERNE & URBANE SERVICE APARTMENTS PÅ DET ’NYE ØSTERBRO’. 165 studios med eget køkken & bad. Fællesopholds- og loungeområder. Reception. Hurtigt wifi i hele huset.  Fælles tagterrasse & solrigt gårdmiljø. Vaskeri. Parkering. Østerbro Studio Apartments er skabt i en designlinje med fokus på hjemmelighed og æstetik i international boutique stil. Hotellejlighederne er udstyret med eget specialdesignet køkken og bad fra Polyform. Østerbro Studio Apartments er beliggende på ydre Østerbro og består af 165 Studio lejligheder fordelt på 6 etager. Ejendommen byder på et urbant miljø med stort fælles gårdmiljø og stemningsfulde lounge områder. Hotellet består af fire forskellige bygninger i forskellige etager. Ejendommen har gennemgået en gennemgribende renovering og er nu omdannet til studiolejligheder  Indretning studios Studios er skabt med kontrastfuld designlinje udviklet specielt til ejendommen med afsæt i de historiske og industrielle rammer. Rummene præges af grafiske linjer i de store sorte vinduespartier i New Yorker stil, som karakteriserer og understreger ejendommens facade og udvendige udtryk. Studios varierer i størrelserne og kan beboes af 1-2 personer pr. studio. Studios er lyse og rummelige med de store New Yorker vinduer.  Urbane Østerbro med byliv & natur. Østerbro er kendt for sit rolige lokalsamfund & attraktive nærområde hvor lokale butikker, delikatesser & trendy restauranter ligger side om side. Kvarteret byder på en unik kombination af byliv og natur med mange grønne oaser, der står i kontrast til den urbane puls. Kvarteret Østerbro Studio Apartments ligger centralt på ’det nye Østerbro’ nær fælledparken & den nye Vibenshus Runddel metro. Et område der er i rivende udvikling. Østerbro Studio Apartments ligger med cykelafstand til Nørrebro, Søerne, Fælledparken & Indre By. Østerbrogade bidrager med pariserstemning med dens pulserende restaurant- og caféliv, mens grønne områder som Fælledparken inddrager naturen i hverdagen. Nær adressen finder du butikker og fitnesscenter.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6009664
150,1 værelses lejlighed på 30 m²,8.500,1,30,København Ø,Teglværksgade,60,"ØSTERBRO STUDIO APARTMENTS MODERNE & URBANE SERVICE APARTMENTS PÅ DET ’NYE ØSTERBRO’. 165 studios med eget køkken & bad. Fællesopholds- og loungeområder. Reception. Hurtigt wifi i hele huset.  Fælles tagterrasse & solrigt gårdmiljø. Vaskeri. Parkering. Østerbro Studio Apartments er skabt i en designlinje med fokus på hjemmelighed og æstetik i international boutique stil. Hotellejlighederne er udstyret med eget specialdesignet køkken og bad fra Polyform. Østerbro Studio Apartments er beliggende på ydre Østerbro og består af 165 Studio lejligheder fordelt på 6 etager. Ejendommen byder på et urbant miljø med stort fælles gårdmiljø og stemningsfulde lounge områder. Hotellet består af fire forskellige bygninger i forskellige etager. Ejendommen har gennemgået en gennemgribende renovering og er nu omdannet til studiolejligheder  Indretning studios Studios er skabt med kontrastfuld designlinje udviklet specielt til ejendommen med afsæt i de historiske og industrielle rammer. Rummene præges af grafiske linjer i de store sorte vinduespartier i New Yorker stil, som karakteriserer og understreger ejendommens facade og udvendige udtryk. Studios varierer i størrelserne og kan beboes af 1-2 personer pr. studio. Studios er lyse og rummelige med de store New Yorker vinduer.  Urbane Østerbro med byliv & natur. Østerbro er kendt for sit rolige lokalsamfund & attraktive nærområde hvor lokale butikker, delikatesser & trendy restauranter ligger side om side. Kvarteret byder på en unik kombination af byliv og natur med mange grønne oaser, der står i kontrast til den urbane puls. Kvarteret Østerbro Studio Apartments ligger centralt på ’det nye Østerbro’ nær fælledparken & den nye Vibenshus Runddel metro. Et område der er i rivende udvikling. Østerbro Studio Apartments ligger med cykelafstand til Nørrebro, Søerne, Fælledparken & Indre By. Østerbrogade bidrager med pariserstemning med dens pulserende restaurant- og caféliv, mens grønne områder som Fælledparken inddrager naturen i hverdagen. Nær adressen finder du butikker og fitnesscenter.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6009663
